Parent,Child,CONVERSION RATE,Parent Description,Child Description,Parent QSU,Child QSU,Parent SU,Child SU
502336241,502336241PK,20,CELLPRO 25CM2 CELL CULTRE FLAS,CELLPRO 25CMCELCULTREFLSK 10PK,00200,00010,CS,PK
509051589,509051589EA,50,OPTIPLATE-384 NEW 50W,OPTIPLATE-384 NEW 50W 1EA,00050,00001,CS,EA
15901K,15901KEA,6,TAPE GRAY 13MMX13M 6/PK,TAPE GRAY 13MMX13M 1EA,00006,00001,PK,EA
17103022,17103022PK,10,PLYNT HEATSEAL CLN PROCS 10/CS,PLYNT HEATSEAL CLNPROCS 10PKCS,01500,00150,CS,PK
FB0340936,FB0340936EA,3,FB WASH BOTTLE VENT ETHANOL,FB WASH BOTLE VENT ETHANL 1EA,00003,00001,PK,EA
17108760,17108760PK,10,93256 MGATXT SZ6.5-7 1000/CS,93256 MGATXT SZ6.5-7 100PK,01000,00100,CS,PK
06666130,06666130PK,9,WYPALL GRAB A RAG BOX 810/CS,WYPALL GRAB A RAG BOX 90PK,00810,00090,CS,PK
19061308,19061308PK,20,WIP MRASAT PRESAT100UPW 20PKCS,WIP MRASAT PRESAT 100 UPW 20PK,00400,00020,CS,PK
19413015,19413015PK,25,HNDTOWEL WHT 9.4X12.4 4375CS,HNDTOWEL WHT 9.4X12.4 175PK,04375,00175,CS,PK
FB012921,FB012921PK,60,60MM TCDISH W/GRIP RING 600/CS,60MM TCDISH W/GRIP RING 10PK,00600,00010,CS,PK
17033197,17033197EA,12,HYFLEX 11571 SIZE 6 12/PK,HYFLEX 11571 SIZE 6 1EA,00012,00001,PK,EA
17033198,17033198EA,12,HYFLEX 11571 SIZE 7 12/PK,HYFLEX 11571 SIZE 7 1EA,00012,00001,PK,EA
17033199,17033199EA,12,HYFLEX 11571 SIZE 8 12/PK,HYFLEX 11571 SIZE 8 1EA,00012,00001,PK,EA
17033200,17033200EA,12,HYFLEX 11571 SIZE 9 12/PK,HYFLEX 11571 SIZE 9 1EA,00012,00001,PK,EA
17033201,17033201EA,12,HYFLEX 11571 SIZE 10 12/PK,HYFLEX 11571 SIZE 10 1EA,00012,00001,PK,EA
17033202,17033202EA,12,HYFLEX 11571 SIZE 11 12/PK,HYFLEX 11571 SIZE 11 1EA,00012,00001,PK,EA
21385100,21385100PK,10,REAGENT RES BULK 100ML 200/CS,REAGENT RES BULK 100ML 20PK,00200,00020,CS,PK
21385104,21385104PK,10,REAGENT RES BULK 50ML 200/CS,REAGENT RES BULK 50ML 200CS,00200,00020,CS,PK
FB0340923M,FB0340923ME,6,FB WASH BOTTLE DEIONIZED WATER,FB WASH BOTTL DEIONIZD WATR EA,00006,00001,PK,EA
10101125,10101125PK,8,SEROLOGICAL PIPET 10ML SHORTY,SEROLOGICLPIPET10ML SHORT 25PK,00200,00025,CS,PK
10101126,10101126PK,4,SEROLOGICAL PIPET 25ML SHORTY,SEROLOGICLPIPET25ML SHORT 25PK,00100,00025,CS,PK
19305250,19305250EA,48,TAPE ANTI STATIC 3/4  X 36 YDS,TAPE ANTISTATIC 3/4X36 YDS 1EA,00048,00001,CS,EA
502734671,502734671EA,12,10 OZ CAN 12/PK,10 OZ CAN 1EA,00012,00001,PK,EA
13681509,13681509PK,10,REAGENT RESERVOIR 25ML ST BULK,PIPET BASINS 25ML BULK ST 10PK,00100,00010,CS,PK
MKH4884,MKH4884EA,4,METHYL ALCOH ANHYD ULTIMAR 4L,METHYL ALCOH ANHYD ULTIMAR 1EA,00004,00001,CS,EA
18008120,18008120EA,10,KUTTER NSF FOOD ZONE CUTTER,FB AUTOCLAVABLE CUTTER 1EA,00010,00001,PK,EA
1482718,1482718EA,12,SHARPS CONTNR TRANS 1GAL 12/CS,SHARPS CONTNR TRANS 1GAL 1EA,00012,00001,CS,EA
501909611,501909611EA,24,BATTERIES 24/PK AAA PC2400,BATTERIES  AAA 1EA,00024,00001,PK,EA
501117985,501117985PK,8,250ML CENTRIFUGE TUBE CS48,250ML CENTRIFUGE TUBE 6PK,00048,00006,CS,PK
07000129,07000129PK,4,96W PLT PS MB CHM BLACK 40/CS,96W PLT PS MB CHM BLACK 10PK,00040,00010,CS,PK
19022074,19022074EA,100,FCSHLD 8X15.5X40 CL PETG 100CS,FCSHLD 8X15.5X40 CL PETG 1EA,00100,00001,CS,EA
15901110,15901110EA,4,LF ATOCLVTP 0.75IN BLK 4CS,LF ATOCLVTP0.75IN BLK,00004,00001,CS,EA
17010012,17010012EA,24,AAA 24/PK,COAST ALKALINEBATTERYAAA,00024,00001,PK,EA
12566439,12566439PK,3,FLASK T25 NUNCLON SPERA 18CS,FLASK T25 NUNCLON SPERA PK6,00018,00006,CS,PK
12566440,12566440PK,6,FLASK T75 NUNCLON SPERA 24CS,FLASK T75NUNCLON SPERA PK4,00024,00004,CS,PK
19547201,19547201EA,4,1GALQUAT STRL CLNR SLUTION 4CS,1GALQUAT STRL CLNR SLUTION,00004,00001,CS,EA
22030596,22030596PK,5,BTL MEDIA SQ STRL PETG 200/CS,BTL MEDIA SQ STRL PETG PK40,00200,00040,CS,PK
04100511,04100511EA,10,CLIPTIP 384 12.5 EXT FILTER ST,CLIPTIP384 12.5EXTFLTR ST384EA,3840,384,PK,EA
05413916,05413916EA,2,DNA LOB 5 ML SCREWCAP PCRCL,DNALOB 5ML SCRWCAP PCRCL 100PK,00200,00100,PK,PK
05413953,05413953EA,10,EPDUALFILTER 20-300UL PCRST960,EPDUALFILTER 20-300ULPCRST96EA,960,96,PK,EA
05413954,05413954EA,10,EPDUALFILTER50-1000UL PCRST960,EPDUALFILTR50-1000UL PCRST96EA,960,96,PK,EA
14387983,14387983EA,8,CLIPTIP 1250 FILTER 768PK,CLIPTIP 1250 FILTER 96EA,768,96,PK,EA
14488008,14488008EA,10,CLIPTIP 200 RLD STER 960PK,CLIPTIP 200 RLD STER 96/EA,960,96,PK,EA
501305998,501305998EA,24,TECAN 10UL TIPS ANSI FIL REF,TECAN 10ULTIPS ANSIFIL REF96EA,2304,96,CS,EA
501510337,501510337EA,8,RT-LTS-A-1200 L-/L/S-768/8,RT-LTS-A-1200 L-/L/S-96/EA,768,96,PK,EA
501510379,501510379EA,8,RT-LTS-A-1000 L-/F/L-768/8,RT-LTS-A-1000 L-F/L-96/EA,768,96,PK,EA
501510393,501510393EA,8,RT-LTS-A-300 L-/F/L-768/8,TR-LTS-A-300 L-/F/L-96/EA,768,96,PK,EA
05413611,05413611EA,10,EPTIPS 384 RULOAD 100UL EPQ,EPTIPS384RULOAD 100ULEPQ 384EA,3840,384,CS,EA
05413940,05413940EA,10,EPDUALFILTER.1-10UL M PCRST960,EPDUALFILTR.1-10UL M PCRST96EA,960,96,PK,EA
05413941,05413941EA,10,EPDUALFILTER.5-20UL L PCRST960,EPDUALFLTR.5 5-20UL  PCRST96EA,960,96,PK,EA
